gene,cellID,num_rolonies
Actb,0.0,1
Actb,1.0,2
Actb,10.0,5
Actb,100.0,8
Actb,101.0,3
Actb,103.0,2
Actb,104.0,5
Actb,105.0,4
Actb,106.0,5
Actb,107.0,17
Actb,108.0,6
Actb,109.0,3
Actb,11.0,1
Actb,110.0,1
Actb,111.0,2
Actb,112.0,7
Actb,113.0,4
Actb,114.0,4
Actb,115.0,1
Actb,116.0,1
Actb,117.0,2
Actb,118.0,3
Actb,119.0,5
Actb,12.0,2
Actb,120.0,4
Actb,121.0,6
Actb,122.0,3
Actb,123.0,6
Actb,124.0,1
Actb,125.0,7
Actb,126.0,4
Actb,127.0,4
Actb,128.0,5
Actb,129.0,4
Actb,13.0,3
Actb,130.0,1
Actb,131.0,4
Actb,132.0,2
Actb,133.0,6
Actb,134.0,2
Actb,135.0,7
Actb,136.0,2
Actb,137.0,1
Actb,138.0,5
Actb,139.0,8
Actb,140.0,3
Actb,141.0,3
Actb,142.0,4
Actb,143.0,8
Actb,144.0,5
Actb,146.0,5
Actb,147.0,3
Actb,148.0,2
Actb,149.0,5
Actb,15.0,5
Actb,150.0,1
Actb,151.0,2
Actb,152.0,1
Actb,153.0,5
Actb,154.0,2
Actb,155.0,2
Actb,156.0,8
Actb,158.0,2
Actb,159.0,1
Actb,16.0,6
Actb,160.0,8
Actb,162.0,4
Actb,163.0,3
Actb,164.0,1
Actb,165.0,1
Actb,166.0,5
Actb,167.0,3
Actb,168.0,9
Actb,169.0,2
Actb,17.0,5
Actb,170.0,6
Actb,171.0,5
Actb,172.0,6
Actb,173.0,4
Actb,174.0,6
Actb,175.0,7
Actb,176.0,3
Actb,177.0,2
Actb,178.0,7
Actb,179.0,4
Actb,18.0,2
Actb,180.0,2
Actb,181.0,5
Actb,182.0,1
Actb,183.0,6
Actb,184.0,2
Actb,185.0,1
Actb,186.0,3
Actb,187.0,3
Actb,188.0,6
Actb,19.0,3
Actb,190.0,6
Actb,191.0,1
Actb,192.0,6
Actb,193.0,3
Actb,194.0,2
Actb,195.0,3
Actb,196.0,2
Actb,197.0,3
Actb,198.0,4
Actb,199.0,1
Actb,2.0,4
Actb,20.0,3
Actb,200.0,2
Actb,201.0,1
Actb,202.0,7
Actb,203.0,4
Actb,204.0,3
Actb,205.0,2
Actb,206.0,4
Actb,207.0,2
Actb,208.0,6
Actb,209.0,2
Actb,21.0,2
Actb,210.0,4
Actb,211.0,5
Actb,212.0,2
Actb,213.0,5
Actb,215.0,9
Actb,216.0,11
Actb,217.0,7
Actb,218.0,4
Actb,219.0,1
Actb,22.0,2
Actb,220.0,2
Actb,221.0,5
Actb,222.0,5
Actb,223.0,4
Actb,225.0,3
Actb,226.0,5
Actb,227.0,6
Actb,228.0,2
Actb,229.0,4
Actb,23.0,1
Actb,231.0,9
Actb,232.0,2
Actb,234.0,3
Actb,235.0,1
Actb,236.0,1
Actb,237.0,3
Actb,238.0,4
Actb,239.0,4
Actb,24.0,2
Actb,240.0,5
Actb,241.0,3
Actb,242.0,1
Actb,243.0,3
Actb,244.0,1
Actb,245.0,1
Actb,247.0,1
Actb,248.0,1
Actb,249.0,2
Actb,25.0,1
Actb,251.0,2
Actb,252.0,7
Actb,253.0,2
Actb,254.0,4
Actb,255.0,9
Actb,256.0,5
Actb,257.0,5
Actb,258.0,1
Actb,259.0,2
Actb,260.0,4
Actb,261.0,2
Actb,262.0,5
Actb,263.0,4
Actb,264.0,2
Actb,265.0,4
Actb,266.0,3
Actb,267.0,1
Actb,268.0,1
Actb,27.0,2
Actb,270.0,5
Actb,271.0,5
Actb,272.0,4
Actb,273.0,6
Actb,274.0,2
Actb,275.0,2
Actb,276.0,2
Actb,277.0,6
Actb,278.0,4
Actb,279.0,5
Actb,28.0,2
Actb,281.0,4
Actb,282.0,9
Actb,284.0,9
Actb,285.0,2
Actb,286.0,3
Actb,287.0,2
Actb,288.0,2
Actb,29.0,8
Actb,290.0,2
Actb,291.0,3
Actb,292.0,1
Actb,293.0,4
Actb,294.0,3
Actb,295.0,3
Actb,296.0,4
Actb,298.0,1
Actb,299.0,1
Actb,3.0,4
Actb,30.0,3
Actb,300.0,4
Actb,302.0,1
Actb,303.0,4
Actb,304.0,3
Actb,306.0,1
Actb,307.0,4
Actb,308.0,3
Actb,31.0,1
Actb,311.0,2
Actb,312.0,2
Actb,315.0,2
Actb,316.0,1
Actb,317.0,2
Actb,319.0,3
Actb,320.0,6
Actb,321.0,2
Actb,322.0,3
Actb,323.0,3
Actb,324.0,4
Actb,325.0,3
Actb,326.0,5
Actb,328.0,3
Actb,329.0,1
Actb,33.0,2
Actb,330.0,4
Actb,331.0,3
Actb,333.0,1
Actb,334.0,2
Actb,336.0,4
Actb,337.0,1
Actb,338.0,3
Actb,339.0,3
Actb,340.0,2
Actb,342.0,2
Actb,345.0,1
Actb,346.0,3
Actb,347.0,2
Actb,349.0,2
Actb,351.0,1
Actb,352.0,2
Actb,353.0,5
Actb,355.0,1
Actb,356.0,3
Actb,359.0,1
Actb,36.0,2
Actb,360.0,5
Actb,361.0,1
Actb,363.0,1
Actb,365.0,2
Actb,366.0,1
Actb,367.0,2
Actb,368.0,2
Actb,37.0,2
Actb,370.0,1
Actb,371.0,2
Actb,373.0,3
Actb,374.0,4
Actb,375.0,1
Actb,377.0,1
Actb,378.0,2
Actb,379.0,1
Actb,38.0,2
Actb,381.0,4
Actb,382.0,4
Actb,385.0,1
Actb,386.0,4
Actb,387.0,2
Actb,388.0,2
Actb,390.0,2
Actb,391.0,4
Actb,395.0,1
